COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,3.2,1001326,2009-08-30,,CONT,1.0,3.0
VR,3.1,1001327,2009-08-17,,CONT,1.0,3.0
VR,2.2,1001328,2009-08-30,,CONT,1.0,3.0
VR,3.1,1001329,2009-08-17,,CONT,1.0,3.0
VR,3.1,1001332,2009-08-23,,CONT,1.0,3.0
VR,2.2,1001334,2009-09-08,,CONT,1.0,3.0
VR,2.2,1001335,2009-09-10,,CONT,1.0,3.0
VR,2.2,1001336,2009-09-08,,CONT,1.0,3.0
VR,2.2,1001339,2009-09-10,,CONT,1.0,3.0
VR,2,1001340,2009-08-10,,CONT,1.0,3.0
VR,3.1,1001341,2009-08-23,,CONT,1.0,3.0
VR,2.2,1001342,2009-09-04,,CONT,1.0,3.0
VR,3.2.1,1001343,2009-09-03,,CONT,1.0,3.0
VR,0,1001344,2009-08-21,,CONT,1.0,3.0
VR,3.2.1,1001347,2009-08-23,,CONT,1.0,3.0
VR,3.2,1001348,2009-08-30,,CONT,1.0,3.0
VR,2.2,1001350,2009-09-02,,CONT,1.0,3.0
VR,3.2.1,1001351,2009-09-02,,CONT,1.0,3.0
VR,3.2.1,1001352,2009-08-27,,CONT,1.0,3.0
VR,3.2.1,1001353,2009-08-27,,CONT,1.0,3.0
VR,3.2.1,1001354,2009-08-27,,CONT,1.0,3.0
VR,3.2.1,1001355,2009-08-23,,CONT,1.0,3.0
VR,3.2.1,1001356,2009-08-27,,CONT,1.0,3.0
VR,3.1,1001358,2009-08-23,,CONT,1.0,3.0
VR,3.2.1,1001359,2009-09-03,,CONT,1.0,3.0
VR,2.2,1001360,2009-08-30,,CONT,1.0,3.0
VR,0,1001362,2009-08-25,,CONT,1.0,3.0
VR,2,1001364,2009-08-13,,CONT,1.0,3.0
VR,3.1,1001365,2009-08-21,,CONT,1.0,3.0
VR,3.2,1001366,2009-09-01,,CONT,1.0,3.0
VR,2.2.1,3018308,2010-01-01,2019-10-30,CONT,1.0,3.0
VR,3,3018539,2010-01-01,,CONT,1.0,3.0
VR,1,3019867,2010-01-01,,CONT,1.0,3.0
VR,3,3021764,2010-01-01,,CONT,1.0,3.0
VR,3.2,3022144,2010-01-01,,CONT,1.0,3.0
VR,3,3022381,2010-01-01,,CONT,1.0,3.0
VR,2.2,3022849,2010-01-01,,CONT,1.0,3.0
VR,3.2,3022896,2010-01-01,,CONT,1.0,3.0
VR,3.1,3022920,2010-01-01,,CONT,1.0,3.0
VR,3.2,3023467,2010-01-01,,CONT,1.0,3.0
VR,3.2,3024479,2010-01-01,,CONT,1.0,3.0
VR,3.2,3024698,2010-01-01,,CONT,1.0,3.0
VR,3.2,3024700,2010-01-01,,CONT,1.0,3.0
VR,2,3024701,2010-01-01,,CONT,1.0,3.0
VR,0,3024705,2010-01-01,,CONT,1.0,3.0
VR,3.2,3024715,2010-01-01,,CONT,1.0,3.0
VR,3.2,3025026,2010-01-01,,CONT,1.0,3.0
VR,2.2,3025215,2010-01-01,,CONT,1.0,3.0
VR,1,3026155,2010-01-01,,CONT,1.0,3.0
VR,3.2.1,3026663,2010-01-01,,CONT,1.0,3.0
VR,1,3027004,2010-01-01,,CONT,1.0,3.0
VR,1,3027012,2010-01-01,,CONT,1.0,3.0
VR,1,3027056,2010-01-01,,CONT,1.0,3.0
VR,1,3027558,2010-01-01,,CONT,1.0,3.0
VR,1,3027657,2010-01-01,,CONT,1.0,3.0
VR,1,3027663,2010-01-01,,CONT,1.0,3.0
VR,2.2.1,3027700,2010-01-01,,SIN_CONT,1.0,3.0
VR,0,3028198,2010-01-01,,CONT,1.0,3.0
VR,3.1,3028837,2010-01-01,,CONT,1.0,3.0
VR,3.1,3028840,2010-01-01,,CONT,1.0,3.0
VR,0,3028868,2010-01-01,,CONT,1.0,3.0
VR,2.2,3029241,2010-01-01,,CONT,1.0,3.0
VR,3,3029976,2010-01-01,,CONT,1.0,3.0
VR,3,3029980,2010-01-01,,CONT,1.0,3.0
VR,3,3029983,2010-01-01,,CONT,1.0,3.0
VR,0,3030261,2010-01-01,,CONT,1.0,3.0
VR,3.2,3030269,2010-01-01,,CONT,1.0,3.0
VR,,3030356,2010-01-01,2016-01-14,CONT,,
VR,,3030358,2010-01-01,2015-09-29,CONT,,
VR,,3030361,2010-01-01,2015-09-18,CONT,,
VR,1,3030364,2010-01-01,,CONT,1.0,3.0
VR,,3030891,2010-01-01,2015-04-17,SIN_CONT,,
VR,,3030898,2010-01-01,2012-01-01,SIN_CONT,,
VR,,3030902,2010-01-01,2013-10-30,SIN_CONT,,
VR,,3030909,2010-01-01,2011-11-01,SIN_CONT,,
VR,3.1,3030913,2010-01-01,,SIN_CONT,1.0,3.0
