Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-05 13:15:00+00:00,LS Urda,0.24541977,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 13:30:00+00:00,LS Urda,0.14174508,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 13:45:00+00:00,LS Urda,0.14690669,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 14:00:00+00:00,LS Urda,0.22467707,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 14:15:00+00:00,LS Urda,0.24357091,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 14:30:00+00:00,LS Urda,0.24128751,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 14:45:00+00:00,LS Urda,0.24909317,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 15:00:00+00:00,LS Urda,0.23565325,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 15:15:00+00:00,LS Urda,0.25048545,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 15:30:00+00:00,LS Urda,0.2428867,11000 Carretera Urda,22110000
